CustomerID,cluster
qde291,2
fmc255,2
bha959,0
kzt095,0
yfg601,0
gnm938,0
wzy939,2
zqj895,2
wiq384,0
ubf524,0
pzy572,0
bkm762,2
ugb162,0
zdf365,2
gup892,2
ivo593,2
hsa160,2
rll887,2
gwd492,2
rnx583,2
tbc994,2
pjv522,2
zjd278,2
qhd544,2
xwn708,2
uzi916,0
sml907,2
bbx340,2
nyh201,2
scj774,0
fdx249,0
wos019,0
lrm592,3
ndv662,3
gfp623,2
moj640,3
kzm426,3
bor982,3
pbb201,3
elw950,3
iac335,3
yii111,3
dtf626,3
izp030,3
iqk901,3
gvq694,3
tuj604,3
uxw935,3
oyg435,3
gds993,3
vaw959,3
mor064,3
uct854,3
son703,3
iga657,3
xeb396,1
pam617,3
eml152,3
fwu071,3
ytn668,3
zcp540,3
cpy284,3
kya370,3
qah442,3
skq789,1
fyu607,1
hgh570,1
wej156,1
ywb936,1
ill001,3
upq157,1
jjz728,1
huh642,1
xsf742,1
kts759,1
fkv765,1
kjb721,1
ydf475,1
lwz334,1
lxl395,1
opf751,1
ete747,0
bhw729,1
mrg277,1
bxq294,1
vyx786,1
cwy904,1
gbh903,1
pxf173,1
ghl009,1
rgw633,1
lcv852,1
uzj719,1
day920,1
uad312,1
pmc253,1
ouy139,4
lhg409,5
iap848,5
plw301,5
eos839,7
waj942,7
cai871,4
otq785,4
xrm799,6
isq179,7
xeb570,7
yqz108,7
blo689,6
gaj214,4
hwa313,4
gfi759,7
drr536,5
vlq320,7
jgd607,4
wov009,7
kft529,7
ssm882,5
rec654,4
qwm212,7
lgz898,7
ccu032,4
oue602,7
ygn685,5
lyi728,4
zqb573,5
ird145,7
vjr595,6
noa823,6
cvg851,4
wxw055,4
hxm308,7
uzu411,5
vbf407,4
aam299,6
zef418,4
gjw794,5
zti801,7
jkv708,5
mpt550,7
iao317,6
yiz506,7
rxf429,7
goc861,4
hon188,7
thk566,5
fxc063,6
lzd544,5
vzx656,7
yim385,7
xia074,7
gjk857,6
dtb000,5
fqh706,7
tmy536,4
zkw284,7
azf069,7
mkg093,5
nvp157,5
fal827,6
gcv600,4
wvj341,7
gpc520,5
tot079,5
lxi148,5
sjx599,7
tav086,7
hxx376,4
jwh484,6
adl749,7
aty502,7
rrw453,4
ppe369,5
hmp562,4
qnd007,4
mqu226,4
xrd130,5
cxh939,6
bje202,5
kyf352,5
wky077,6
frm811,7
bpt602,6
erw126,5
nry532,4
qxg944,6
gve998,7
csl726,7
wsq170,6
cvu476,7
zia635,6
wfz840,6
nrh195,5
tej781,5
emr061,5
bhn313,7
seb706,4
tqn772,7
opv784,4
swh678,7
pgg241,4
jxr028,4
dxb224,5
afx968,4
grr840,6
tdi734,5
poh948,4
aar191,7
wkc188,6
mcd741,5
eej269,6
vtd538,6
hux009,5
fyx658,5
elo139,6
xud091,4
kpo569,4
eaa502,7
ccs538,4
njc687,5
urh175,4
zuh851,7
jqh330,7
xtu165,5
zsu289,5
dlt365,4
dhr772,6
xip571,7
lvf674,6
ekt049,7
bct764,4
yxs636,5
lov225,5
cnd126,4
wac287,4
isx712,4
wxw111,4
luy964,7
jjb963,7
wjb999,7
ibl320,6
azx545,4
fiz876,7
gdm298,4
kjy256,5
eqf177,5
qsx055,5
rxs468,6
xma401,7
gbl789,4
omm445,7
hoa369,4
kyo694,6
fng465,4
xut844,5
omb014,7
vuk215,6
vdm140,7
qte226,4
gtz797,6
kug406,7
pkf588,6
ppj267,7
ifk208,7
pjf328,5
qqy240,7
jga514,6
eev142,7
sre097,7
lad334,5
uco043,7
ieo951,4
nxm197,6
aul603,4
vnj233,6
umw025,7
pof453,7
ucm102,5
epx868,7
tjk001,5
uhz991,7
efs992,7
vnz207,6
